"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"Bill Evers",1980,"California","US House","12","gen",FALSE,"libertarian",FALSE,"Bill","Evers",15073,199083
"Bill Farley",2000,"California","US House","26","gen",FALSE,"libertarian",FALSE,"Bill","Farley",13052,114781
"Bill Fausek",1998,"Mississippi","US House","4","gen",FALSE,"libertarian",FALSE,"Bill","Fausek",898,137199
"Bill Fawell",2014,"Illinois","US House","17","gen",FALSE,"",TRUE,"Bill","Fawell",16,199361
"Bill Federer",2000,"Missouri","US House","3","gen",FALSE,"republican",FALSE,"Bill","Federer",100967,254539
"Bill Federer",2004,"Missouri","US House","3","gen",FALSE,"republican",FALSE,"Bill","Federer",125422,277916
"Bill Felton",1994,"Texas","US House","9","gen",FALSE,"independent",FALSE,"Bill","Felton",2145,156797
"Bill Filante",1992,"California","US House","6","gen",FALSE,"republican",FALSE,"Bill","Filante",98171,291786
"Bill Finch",1996,"Connecticut","US House","4","gen",FALSE,"democrat",FALSE,"Bill","Finch",75902,201712
"Bill Flanagan",1984,"Florida","US House","19","gen",FALSE,"republican",FALSE,"Bill","Flanagan",64317,179951
"Bill Flanagan",1986,"Florida","US House","19","gen",FALSE,"republican",FALSE,"Bill","Flanagan",44463,143678
"Bill Flores",2010,"Texas","US House","17","gen",FALSE,"republican",FALSE,"Bill","Flores",106696,172642
"Bill Flores",2012,"Texas","US House","17","gen",FALSE,"republican",FALSE,"Bill","Flores",143284,179262
"Bill Flores",2014,"Texas","US House","17","gen",FALSE,"republican",FALSE,"Bill","Flores",85807,132865
"Bill Flores",2016,"Texas","US House","17","gen",FALSE,"republican",FALSE,"Bill","Flores",149417,245728
"Bill Foster",2008,"Illinois","US House","14","gen",FALSE,"democrat",FALSE,"Bill","Foster",185404,321057
"Bill Foster",2010,"Illinois","US House","14","gen",FALSE,"democrat",FALSE,"Bill","Foster",98645,219013
"Bill Foster",2012,"Illinois","US House","11","gen",FALSE,"democrat",FALSE,"Bill","Foster",148928,254295
"Bill Foster",2014,"Illinois","US House","11","gen",FALSE,"democrat",FALSE,"Bill","Foster",93436,174772
"Bill Foster",2016,"Illinois","US House","11","gen",FALSE,"democrat",FALSE,"Bill","Foster",166578,275573
"Bill Fraser",1980,"Texas","US House","18","gen",FALSE,"libertarian",FALSE,"Bill","Fraser",1983,90096
"Bill Frenzel",1976,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",149013,225459
"Bill Frenzel",1978,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",128759,195879
"Bill Frenzel",1980,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",179393,237261
"Bill Frenzel",1982,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",166891,231311
"Bill Frenzel",1984,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",207819,283978
"Bill Frenzel",1986,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",127434,181729
"Bill Frenzel",1988,"Minnesota","US House","3","gen",FALSE,"republican",FALSE,"Bill","Frenzel",215322,315609
"Bill Frist",1994,"Tennessee","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Frist",834226,1480391
"Bill Frist",2000,"Tennessee","US Senate","statewide","gen",FALSE,"republican",FALSE,"Bill","Frist",1255444,1928613
"Bill Fuller",2004,"Alabama","US House","3","gen",FALSE,"democrat",FALSE,"Bill","Fuller",95240,245784
"Bill Gahres",1978,"New Jersey","US Senate","statewide","gen",FALSE,"independent",FALSE,"Bill","Gahres",3817,1957515
