"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"Haley Barbour",1982,"Mississippi","US Senate","statewide","gen",FALSE,"republican",FALSE,"Haley","Barbour",230927,645026
"Hamilton C. Horton",1978,"North Carolina","US House","5","gen",FALSE,"republican",FALSE,"Hamilton","Horton",58161,126939
"Hamilton Fish, Jr.",1976,"New York","US House","25","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",139389,197605
"Hamilton Fish Jr.",1978,"New York","US House","25","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",114641,146533
"Hamilton Fish Jr.",1980,"New York","US House","25","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",158936,196305
"Hamilton Fish, Jr.",1982,"New York","US House","21","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",117460,156124
"Hamilton Fish Jr.",1984,"New York","US House","21","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",160053,204327
"Hamilton Fish Jr.",1986,"New York","US House","21","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",102070,133397
"Hamilton Fish, Jr.",1988,"New York","US House","21","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",150443,201607
"Hamilton Fish Jr.",1990,"New York","US House","21","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",99866,153706
"Hamilton Fish, Jr.",1992,"New York","US House","19","gen",FALSE,"republican",FALSE,"Hamilton","Jr.",139610,267291
"Hamilton Fish, Jr.",1994,"New York","US House","19","gen",FALSE,"democrat",FALSE,"Hamilton","Jr.",70696,208689
"Hamp Hodges",1990,"Texas","US House","1","gen",FALSE,"republican",FALSE,"Hamp","Hodges",56954,146195
"Hank Brown",1980,"Colorado","US House","4","gen",FALSE,"republican",FALSE,"Hank","Brown",178221,260491
"Hank Brown",1982,"Colorado","US House","4","gen",FALSE,"republican",FALSE,"Hank","Brown",105550,151300
"Hank Brown",1984,"Colorado","US House","4","gen",FALSE,"republican",FALSE,"Hank","Brown",146469,205930
"Hank Brown",1986,"Colorado","US House","4","gen",FALSE,"republican",FALSE,"Hank","Brown",117089,167761
"Hank Brown",1988,"Colorado","US House","4","gen",FALSE,"republican",FALSE,"Hank","Brown",156202,213754
"Hank Brown",1990,"Colorado","US Senate","statewide","gen",FALSE,"republican",FALSE,"Hank","Brown",569048,1022027
"Hank Eng",2008,"Colorado","US House","6","gen",FALSE,"democrat",FALSE,"Hank","Eng",162639,413516
"Hank Inouye",1976,"Hawaii","US House","2","gen",FALSE,"republican",FALSE,"Hank","Inouye",23917,156099
"Hank Schroeder",2014,"New Jersey","US Senate","statewide","gen",FALSE,"economic growth",FALSE,"Hank","Schroeder",5704,1869535
"Hank Schroeder",2016,"New Jersey","US House","4","gen",FALSE,"economic growth",FALSE,"Hank","Schroeder",5840,332684
"Hank Schwab",2000,"Georgia","US House","5","gen",FALSE,"republican",FALSE,"Hank","Schwab",40606,177942
"Hannibal Cundari",1976,"New Jersey","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"Hannibal","Cundari",19907,2771390
"Hans J. Kugler",2010,"California","US Senate","Statewide","gen",FALSE,"",TRUE,"Hans","Kugler",5,10000160
"Hans Lessmann",2012,"Pennsylvania","US House","14","gen",FALSE,"republican",FALSE,"Hans","Lessmann",75702,327634
"Hans Reigle",2016,"Delaware","US House","0","gen",FALSE,"republican",FALSE,"Hans","Reigle",172301,420617
"Hans Schroeder",1980,"Pennsylvania","US House","8","gen",FALSE,"libertarian",FALSE,"Hans","Schroeder",1167,204345
"Hans G. Schroeder",1982,"Pennsylvania","US House","8","gen",FALSE,"libertarian",FALSE,"Hans","Schroeder",483,165535
"Hansen Clarke",2010,"Michigan","US House","13","gen",FALSE,"democrat",FALSE,"Hansen","Clarke",100885,127076
"Hardy Caraway",1984,"Mississippi","US House","2","gen",FALSE,"independent",FALSE,"Hardy","Caraway",874,182420
"Hardy Caraway",2000,"Mississippi","US House","2","gen",FALSE,"republican",FALSE,"Hardy","Caraway",54090,173307
"Hardy Macia",2012,"New Hampshire","US House","2","gen",FALSE,"libertarian",FALSE,"Hardy","Macia",14936,337394
"Haris Bhatti",2016,"New York","US House","6","gen",FALSE,"haris bhatti party",FALSE,"Haris","Bhatti",2123,210378
"Harlan ""Bo"" Holleman",1976,"Arkansas","US House","1","gen",FALSE,"republican",FALSE,"Harlan","Holleman",52565,168782
"Harlan C. Williams",1984,"Maryland","US House","1","gen",FALSE,"republican",FALSE,"Harlan","Williams",68865,165538
"Harlan C. Williams",1986,"Maryland","US House","1","gen",FALSE,"republican",FALSE,"Harlan","Williams",43764,131877
"Harland Harrison",2004,"California","US House","12","gen",FALSE,"libertarian",FALSE,"Harland","Harrison",5116,252599
"Harley O. Staggers, Jr.",1982,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Jr.",87904,137317
"Harley O. Staggers Jr.",1984,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Jr.",100345,179281
"Harley O. Staggers Jr.",1986,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Jr.",76355,109909
"Harley O. Stagger, Jr.",1988,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Jr.",118356,118356
"Harley O. Staggers Jr.",1990,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Jr.",63174,113882
"Harley Swarm Jr.",2008,"Minnesota","US House","3","gen",FALSE,"",TRUE,"Harley","Jr.",9,369104
"Harley J. McLain",1978,"North Dakota","US House","2","gen",FALSE,"independent",FALSE,"Harley","McLain",3197,3197
"Harley McLain",1998,"North Dakota","US Senate","Statewide","gen",FALSE,"reform",FALSE,"Harley","McLain",3598,213358
"Harley Meyer",2008,"Arizona","US House","7","gen",FALSE,"",TRUE,"Harley","Meyer",5,196489
"Harley Meyer",2010,"Arizona","US House","7","gen",FALSE,"independent",FALSE,"Harley","Meyer",4506,159144
"Harley Mikkelson",2002,"Michigan","US House","5","gen",FALSE,"green",FALSE,"Harley","Mikkelson",5188,173339
"Harley Mikkelson",2004,"Michigan","US House","5","gen",FALSE,"green",FALSE,"Harley","Mikkelson",2468,309915
"Harley G. Mikkelson",2008,"Michigan","US Senate","statewide","gen",FALSE,"green",FALSE,"Harley","Mikkelson",43440,4848620
"Harley Mikkelson",2012,"Michigan","US Senate","statewide","gen",FALSE,"green",FALSE,"Harley","Mikkelson",27890,4652918
"Harley Mikkelson",2014,"Michigan","US House","10","gen",FALSE,"green",FALSE,"Harley","Mikkelson",4480,228692
"Harley Mikkelson",2016,"Michigan","US House","5","gen",FALSE,"green",FALSE,"Harley","Mikkelson",4904,319291
"Harley L. Pinon",1976,"Texas","US House","6","gen",FALSE,"american",FALSE,"Harley","Pinon",1193,180534
"Harley Schlanger",1976,"North Carolina","US House","9","gen",FALSE,"u.s. labor",FALSE,"Harley","Schlanger",644,153788
"Harley O. Staggers",1976,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Staggers",145405,197635
"Harley O. Staggers",1978,"West Virginia","US House","2","gen",FALSE,"democrat",FALSE,"Harley","Staggers",69683,125955
"Harley Tyler",1996,"New Jersey","US House","10","gen",FALSE,"independent",FALSE,"Harley","Tyler",1192,151060
"Harold J. Bergquist",1980,"Minnesota","US House","2","gen",FALSE,"democrat",FALSE,"Harold","Bergquist",102586,260668
"Harold R. Boylan",1978,"California","US House","12","gen",FALSE,"american independent",FALSE,"Harold","Boylan",5609,160085
"Harold Bratcher",2016,"Kentucky","US House","3","gen",FALSE,"republican",FALSE,"Harold","Bratcher",122093,334494
"Harold Byrd",1994,"Tennessee","US House","7","gen",FALSE,"democrat",FALSE,"Harold","Byrd",65851,170383
"Harold L. Coker",1988,"Tennessee","US House","3","gen",FALSE,"republican",FALSE,"Harold","Coker",80372,188638
"Harold Davis",2014,"Missouri","US House","3","gen",FALSE,"",TRUE,"Harold","Davis",66,191620
"Harold Davis",2016,"Missouri","US House","3","gen",FALSE,"",TRUE,"Harold","Davis",10,368333
"Harold L. DeWaters",1976,"Michigan","US House","13","gen",FALSE,"libertarian",FALSE,"Harold","DeWaters",198,93687
"Harold L. Dielmann",1982,"Missouri","US House","2","gen",FALSE,"republican",FALSE,"Harold","Dielmann",77433,178203
"Harold H. Dunn",1982,"Michigan","US House","14","gen",FALSE,"libertarian",FALSE,"Harold","Dunn",6175,122613
"Harold H. Dunn",2000,"Michigan","US House","13","gen",FALSE,"u.s. taxpayers",FALSE,"Harold","Dunn",2110,247521
"Harold (Oilman) Eide",1994,"Texas","US House","29","gen",FALSE,"republican",FALSE,"Harold","Eide",15952,60054
"Harold B. Festerly",1976,"Ohio","US House","16","gen",FALSE,"american",FALSE,"Harold","Festerly",1969,174091
"Harold E. Ford",1976,"Tennessee","US House","8","gen",FALSE,"democrat",FALSE,"Harold","Ford",100683,165954
"Harold E. Ford",1978,"Tennessee","US House","8","gen",FALSE,"democrat",FALSE,"Harold","Ford",80776,115917
"Harold E. Ford",1980,"Tennessee","US House","8","gen",FALSE,"democrat",FALSE,"Harold","Ford",110139,110207
"Harold E. Ford",1982,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",112143,154830
"Harold E. Ford",1984,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",133428,186497
"Harold E. Ford",1986,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",83006,99516
"Harold Ford",1988,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",126280,154802
"Harold E. Ford",1990,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",48629,83657
"Harold E. Ford",1992,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",123276,212755
"Harold E. Ford",1994,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Ford",94805,164040
"Harold V. Froehlich",1976,"Wisconsin","US House","8","gen",FALSE,"republican",FALSE,"Harold","Froehlich",107048,228106
"Harold C. Hollenbeck",1976,"New Jersey","US House","9","gen",FALSE,"republican",FALSE,"Harold","Hollenbeck",107454,202344
"Harold C. Hollenbeck",1978,"New Jersey","US House","9","gen",FALSE,"republican",FALSE,"Harold","Hollenbeck",73478,150155
"Harold C. Hollenbeck",1980,"New Jersey","US House","9","gen",FALSE,"republican",FALSE,"Harold","Hollenbeck",116128,196504
"Harold C. (Cap) Hollenbeck",1982,"New Jersey","US House","9","gen",FALSE,"republican",FALSE,"Harold","Hollenbeck",86022,186879
"Harold Hough",1976,"South Carolina","US House","5","gen",FALSE,"independent",FALSE,"Harold","Hough",298,128510
"Harold Hough",1978,"South Carolina","US House","5","gen",FALSE,"independent",FALSE,"Harold","Hough",13207,76220
"Harold V. Hunter",1978,"Oklahoma","US House","6","gen",FALSE,"republican",FALSE,"Harold","Hunter",36031,139543
"Harold H. Burbank II",2008,"Connecticut","US House","5","gen",FALSE,"green",FALSE,"Harold","II",2324,302657
"Harold Geddings III",2014,"South Carolina","US House","2","gen",FALSE,"labor",FALSE,"Harold","III",4158,194808
"Harold T. (Bizz) Johnson",1976,"California","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Johnson",160477,217016
"Harold T. Johnson",1978,"California","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Johnson",125122,210812
"Harold T. Johnson",1980,"California","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Johnson",107682,270199
"Harold Johnson",2010,"North Carolina","US House","8","gen",FALSE,"republican",FALSE,"Harold","Johnson",73129,167442
"Harold H. Jones",2014,"Michigan","US House","5","gen",FALSE,"libertarian",FALSE,"Harold","Jones",4734,222138
"Harold J. Daub Jr.",1978,"Nebraska","US House","2","gen",FALSE,"republican",FALSE,"Harold","Jr.",70309,147444
"Harold V. Richard Jr.",1980,"Ohio","US House","11","gen",FALSE,"independent",FALSE,"Harold","Jr.",5742,185473
"Harold E. Ford Jr.",1996,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Jr.",116345,190414
"Harold E. Ford, Jr.",1998,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Jr.",75428,95782
"Harold E. Ford, Jr.",2000,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Jr.",143298,143334
"Harold E. Ford Jr.",2002,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Jr.",120904,144260
"Harold E. Ford, Jr.",2004,"Tennessee","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Jr.",190648,232392
"Harold E. Ford, Jr.",2006,"Tennessee","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harold","Jr.",879976,1833695
"Harold F. Leiendecker",1982,"New Jersey","US House","12","gen",FALSE,"libertarian",FALSE,"Harold","Leiendecker",1610,176452
"Harold F. Leiendecker",1984,"New Jersey","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"Harold","Leiendecker",7135,3096456
"Harold L. McCormick",1978,"Colorado","US House","3","gen",FALSE,"republican",FALSE,"Harold","McCormick",69303,141442
"Harold L. ""Mack"" McCormick",1980,"Colorado","US House","3","gen",FALSE,"republican",FALSE,"Harold","McCormick",84292,192782
"Harold C. Pachios",1980,"Maine","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Pachios",86819,275491
"Harold ""Hal"" Rogers",1980,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",112093,166120
"Harold ""Hal"" Rogers",1982,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",52928,81217
"Harold ""Hal"" Rogers",1984,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",125164,164947
"Harold Rogers",1986,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",56760,56764
"Harold Rogers",1988,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",104467,104501
"Harold Rogers",1990,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",64660,64660
"Harold Rogers",1992,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",115255,211015
"Harold Rogers",1994,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",82291,103609
"Harold Rogers",1996,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",117842,117853
"Harold Rogers",1998,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",142215,181800
"Harold Rogers",2000,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",145980,198475
"Harold ""Hal"" Rogers",2002,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",137986,176240
"Harold Rogers",2004,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",177579,177579
"Harold Rogers",2006,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",147201,199568
"Harold Rogers",2008,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",177024,210468
"Harold Rogers",2010,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",151019,195053
"Harold Rogers",2012,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",195408,250855
"Harold Rogers",2014,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",171350,218967
"Harold Rogers",2016,"Kentucky","US House","5","gen",FALSE,"republican",FALSE,"Harold","Rogers",221242,221242
"Harold Runnels",1976,"New Mexico","US House","2","gen",FALSE,"democrat",FALSE,"Harold","Runnels",123563,175694
"Harold Runnels",1978,"New Mexico","US House","2","gen",FALSE,"democrat",FALSE,"Harold","Runnels",95710,95710
"Harold S. Sawyer",1976,"Michigan","US House","5","gen",FALSE,"republican",FALSE,"Harold","Sawyer",109589,205438
"Harold S. Sawyer",1978,"Michigan","US House","5","gen",FALSE,"republican",FALSE,"Harold","Sawyer",81794,165446
"Harold S. Sawyer",1980,"Michigan","US House","5","gen",FALSE,"republican",FALSE,"Harold","Sawyer",118061,222158
"Harold S. Sawyer",1982,"Michigan","US House","5","gen",FALSE,"republican",FALSE,"Harold","Sawyer",98650,185881
"Harold W. Schroeder",2008,"New York","US House","27","gen",FALSE,"conservative",FALSE,"Harold","Schroeder",7478,293504
"Harold L. Silverman",1980,"Maine","US House","2","gen",FALSE,"democrat",FALSE,"Harold","Silverman",51026,237448
"Harold Stassen",1986,"Minnesota","US House","4","gen",FALSE,"republican",FALSE,"Harold","Stassen",41926,154635
"Harold Sudmeyer",1980,"Colorado","US House","1","gen",FALSE,"socialist workers",FALSE,"Harold","Sudmeyer",566,179622
"Harold Russell Taub",2016,"Rhode Island","US House","1","gen",FALSE,"republican",FALSE,"Harold","Taub",71023,202371
"Harold M. Taylor",2002,"Mississippi","US House","1","gen",FALSE,"libertarian",FALSE,"Harold","Taylor",2368,133567
"Harold M. Taylor",2006,"Mississippi","US Senate","statewide","gen",FALSE,"libertarian",FALSE,"Harold","Taylor",9522,610921
"Harold M. Taylor",2010,"Mississippi","US House","1","gen",FALSE,"libertarian",FALSE,"Harold","Taylor",447,219093
"Harold L. Volkmer",1976,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",120325,215141
"Harold L. Volkmer",1978,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",135170,180965
"Harold L. Volkmer",1980,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",135905,240740
"Harold L. Volkmer",1982,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",99228,163170
"Harold L. Volkmer",1984,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",123588,233688
"Harold L. Volkmer",1986,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",95939,166911
"Harold L. Volkmer",1988,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",160872,236880
"Harold L. Volkmer",1990,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",94156,163670
"Harold L. Volkmer",1994,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",103443,204942
"Harold L. Volkmer",1996,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Volkmer",117685,250230
"Harold Washington",1980,"Illinois","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Washington",119562,125223
"Harold Washington",1982,"Illinois","US House","1","gen",FALSE,"democrat",FALSE,"Harold","Washington",172641,177462
"Harold Wiegand",2008,"Illinois","US House","12","gen",FALSE,"",TRUE,"Harold","Wiegand",1,298181
"Harold J. Withers",1978,"New York","US House","2","gen",FALSE,"republican",FALSE,"Harold","Withers",53322,118129
"Harold L. Wolkmer",1992,"Missouri","US House","9","gen",FALSE,"democrat",FALSE,"Harold","Wolkmer",124694,261335
"Harriett Woods",1982,"Missouri","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harriett","Woods",758629,1543521
"Harriett Woods",1986,"Missouri","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harriett","Woods",699624,1477327
"Harris D. Blake",1982,"North Carolina","US House","8","gen",FALSE,"republican",FALSE,"Harris","Blake",52417,124938
"Harris D. Blake",1984,"North Carolina","US House","8","gen",FALSE,"republican",FALSE,"Harris","Blake",96354,196085
"Harris Brown",2014,"Louisiana","US House","5","gen",FALSE,"republican",FALSE,"Harris","Brown",9890,326073
"Harris W. Farewell",1986,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Farewell",107227,146101
"Harris W. Fawell",1984,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",157603,235234
"Harris W. Fawell",1988,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",174992,249416
"Harris W. Fawell",1990,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",116048,176353
"Harris W. Fawell",1992,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",179257,262255
"Harris W. Fawell",1994,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",124312,170021
"Harris W. Fawell",1996,"Illinois","US House","13","gen",FALSE,"republican",FALSE,"Harris","Fawell",141651,236344
"Harris Wofford",1994,"Pennsylvania","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harris","Wofford",1648481,3513361
"Harrison A. Williams, Jr.",1976,"New Jersey","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harrison","Jr.",1681140,2771390
"Harrison ""Jack"" Schmitt",1976,"New Mexico","US Senate","statewide","gen",FALSE,"republican",FALSE,"Harrison","Schmitt",234681,413056
"Harrison H. Schmitt",1982,"New Mexico","US Senate","statewide","gen",FALSE,"republican",FALSE,"Harrison","Schmitt",187128,404810
"Harrit A. Spanel",1994,"Washington","US House","2","gen",FALSE,"democrat",FALSE,"Harrit","Spanel",89096,196526
"Harry Braun",1976,"Arizona","US House","1","gen",FALSE,"independent",FALSE,"Harry","Braun",1040,168119
"Harry G. Broskie",1990,"Virginia","US House","2","gen",FALSE,"independent",FALSE,"Harry","Broskie",15915,73618
"Harry Brown",1976,"New York","US House","8","gen",FALSE,"socialist workers",FALSE,"Harry","Brown",375,137861
"Harry G. Chickles",1976,"Massachusetts","US House","7","gen",FALSE,"independent",FALSE,"Harry","Chickles",4748,210809
"Harry Couch",1976,"California","US House","30","gen",FALSE,"republican",FALSE,"Harry","Couch",28503,111270
"Harry Cozad",1984,"California","US House","2","gen",FALSE,"democrat",FALSE,"Harry","Cozad",69793,228472
"Harry DeMell",1980,"New York","US House","13","gen",FALSE,"republican",FALSE,"Harry","DeMell",19536,103156
"Harry B. Gerlach",1976,"Utah","US House","1","gen",FALSE,"american",FALSE,"Harry","Gerlach",5358,267531
"Harry A. Hanna",1976,"Ohio","US House","22","gen",FALSE,"republican",FALSE,"Harry","Hanna",42727,176723
"Harry C. Hengy",1978,"Michigan","US House","16","gen",FALSE,"american independent",FALSE,"Harry","Hengy",1889,122111
"Harry J. Histen",1980,"California","US House","36","gen",FALSE,"libertarian",FALSE,"Harry","Histen",6815,168690
"Harry W. Braun III",1984,"Arizona","US House","1","gen",FALSE,"democrat",FALSE,"Harry","III",45609,208027
"Harry Braun III",1986,"Arizona","US House","1","gen",FALSE,"democrat",FALSE,"Harry","III",51163,178533
"Harry Jacobs",2002,"Florida","US House","24","gen",FALSE,"democrat",FALSE,"Harry","Jacobs",83667,219243
"Harry A. Johnston",1988,"Florida","US House","14","gen",FALSE,"democrat",FALSE,"Harry","Johnston",173292,315927
"Harry Johnston",1990,"Florida","US House","14","gen",FALSE,"democrat",FALSE,"Harry","Johnston",156055,236304
"Harry Johnston",1992,"Florida","US House","19","gen",FALSE,"democrat",FALSE,"Harry","Johnston",177423,281294
"Harry Johnston",1994,"Florida","US House","19","gen",FALSE,"democrat",FALSE,"Harry","Johnston",147595,223383
"Harry F. Byrd, Jr.",1976,"Virginia","US Senate","statewide","gen",FALSE,"independent",FALSE,"Harry","Jr.",890778,1557500
"Harry T. Crawford, Jr.",2010,"Alaska","US House","0","gen",FALSE,"democrat",FALSE,"Harry","Jr.",77606,254335
"Harry Kniffen",1986,"Texas","US House","7","gen",FALSE,"democrat",FALSE,"Harry","Kniffen",17635,148395
"Harry Kresky",2000,"New York","US House","8","gen",FALSE,"independence",FALSE,"Harry","Kresky",1025,227602
"Harry C. Lepinske",1992,"Illinois","US House","3","gen",FALSE,"republican",FALSE,"Harry","Lepinske",93128,255293
"Harry Lonsdale",1990,"Oregon","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harry","Lonsdale",507743,1099255
"Harry Joe Mangrum",1980,"Nevada","US House","0","gen",FALSE,"libertarian",FALSE,"Harry","Mangrum",7759,236029
"Harry B. Martin",1982,"Pennsylvania","US House","6","gen",FALSE,"republican",FALSE,"Harry","Martin",42155,150385
"Harry Meshel",1980,"Ohio","US House","19","gen",FALSE,"democrat",FALSE,"Harry","Meshel",77272,184304
"Harry Mitchell",2006,"Arizona","US House","5","gen",FALSE,"democrat",FALSE,"Harry","Mitchell",101838,202010
"Harry E. Mitchell",2008,"Arizona","US House","5","gen",FALSE,"democrat",FALSE,"Harry","Mitchell",149033,280365
"Harry E. Mitchell",2010,"Arizona","US House","5","gen",FALSE,"democrat",FALSE,"Harry","Mitchell",91749,212250
"Harry Hugh Pendery",1986,"California","US House","2","gen",FALSE,"libertarian",FALSE,"Harry","Pendery",4054,188414
"Harry H. Pendery",1988,"California","US House","2","gen",FALSE,"libertarian",FALSE,"Harry","Pendery",6253,236351
"Harry H. Pendery",1992,"California","US House","2","gen",FALSE,"libertarian",FALSE,"Harry","Pendery",17529,256556
"Harry H. ""Doc"" Pendery",1994,"California","US House","2","gen",FALSE,"libertarian",FALSE,"Harry","Pendery",5418,214860
"Harry Perkinson",2012,"Pennsylvania","US House","4","gen",FALSE,"democrat",FALSE,"Harry","Perkinson",104643,303980
"Harry Pierce",2010,"Texas","US House","3","gen",FALSE,"",TRUE,"Harry","Pierce",22,152652
"Harry Radcliffe",1980,"Florida","US House","3","gen",FALSE,"republican",FALSE,"Harry","Radcliffe",31208,135880
"Harry Reid",1982,"Nevada","US House","1","gen",FALSE,"democrat",FALSE,"Harry","Reid",61901,107576
"Harry Reid",1984,"Nevada","US House","1","gen",FALSE,"democrat",FALSE,"Harry","Reid",73242,130518
"Harry Reid",1986,"Nevada","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Harry","Reid",130955,261932
"Harry Reid",1992,"Nevada","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"Harry","Reid",253150,495887
"Harry Reid",1998,"Nevada","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"Harry","Reid",208621,435864
"Harry Reid",2004,"Nevada","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"Harry","Reid",494805,810068
"Harry Reid",2010,"Nevada","US Senate","Statewide","gen",FALSE,"democrat",FALSE,"Harry","Reid",362785,721404
"Harry T. Sawicki",2012,"Michigan","US House","13","gen",FALSE,"republican",FALSE,"Harry","Sawicki",38769,284270
"Harry Frank Scolinos",2004,"California","US House","29","gen",FALSE,"republican",FALSE,"Harry","Scolinos",62871,206832
"Harry Taylor",2008,"North Carolina","US House","9","gen",FALSE,"democrat",FALSE,"Harry","Taylor",138719,386483
"Harry Teague",2008,"New Mexico","US House","2","gen",FALSE,"democrat",FALSE,"Harry","Teague",129572,231552
"Harry Teague",2010,"New Mexico","US House","2","gen",FALSE,"democrat",FALSE,"Harry","Teague",75708,169761
"Harry Tootle",1992,"Nevada","US Senate","Statewide","gen",FALSE,"populist",FALSE,"Harry","Tootle",4429,495887
"Harry Torczyner",1978,"New York","US House","20","gen",FALSE,"republican",FALSE,"Harry","Torczyner",11661,75936
"Harry Robb Welty",1992,"Minnesota","US House","8","gen",FALSE,"perot choice",FALSE,"Harry","Welty",22619,283031
"Harry Welty",2006,"Minnesota","US House","8","gen",FALSE,"unity",FALSE,"Harry","Welty",5508,284016
"Hartley D. Anderson",2000,"Utah","US House","1","gen",FALSE,"independent american",FALSE,"Hartley","Anderson",5131,261805
"Harvey R. Clarke",2004,"New York","US House","10","gen",FALSE,"republican",FALSE,"Harvey","Clarke",11099,195241
"Harvey Nicholas Crumhorn",1978,"Alabama","US House","5","gen",FALSE,"libertarian",FALSE,"Harvey","Crumhorn",2250,71236
"Harvey L. Darden",2002,"Mississippi","US House","3","gen",FALSE,"independent",FALSE,"Harvey","Darden",949,219151
"Harvey Dean",2002,"Michigan","US House","12","gen",FALSE,"republican",FALSE,"Harvey","Dean",61502,206528
